                                                     9 Jul 2020 11:53:19
Sensor-Camera


      Time (UTCG)          camera_integral (HMS)    camera_integral Rate
1 Jul 2020 10:47:50.000            -02:16:36.117               -5.000000
1 Jul 2020 10:48:00.000            -02:17:26.117               -5.000000
1 Jul 2020 10:48:10.000            -02:18:16.117               -5.000000
1 Jul 2020 10:48:20.000            -02:19:06.117               -5.000000
1 Jul 2020 10:48:30.000            -02:19:56.117               -5.000000
1 Jul 2020 10:48:40.000            -02:20:46.117               -5.000000
1 Jul 2020 10:48:50.000            -02:21:36.117               -5.000000
1 Jul 2020 10:49:00.000            -02:22:26.117               -5.000000
1 Jul 2020 10:49:10.000            -02:23:16.117               -5.000000
1 Jul 2020 10:49:20.000            -02:24:06.117               -5.000000
1 Jul 2020 10:49:30.000            -02:24:56.117               -5.000000
1 Jul 2020 10:49:40.000            -02:25:46.117               -5.000000
1 Jul 2020 10:49:50.000            -02:26:36.117               -5.000000
1 Jul 2020 10:50:00.000            -02:27:26.117               -5.000000
1 Jul 2020 10:50:10.000            -02:28:16.117               -5.000000
1 Jul 2020 10:50:20.000            -02:29:06.117               -5.000000
1 Jul 2020 10:50:30.000            -02:29:56.117               -5.000000
1 Jul 2020 10:50:40.000            -02:30:46.117               -5.000000
1 Jul 2020 10:50:50.000            -02:31:36.117               -5.000000
1 Jul 2020 10:51:00.000            -02:32:26.117               -5.000000
1 Jul 2020 10:51:10.000            -02:33:16.117               -5.000000
1 Jul 2020 10:51:20.000            -02:34:06.117               -5.000000
1 Jul 2020 10:51:30.000            -02:34:56.117               -5.000000
1 Jul 2020 10:51:40.000            -02:35:46.117               -5.000000
1 Jul 2020 10:51:50.000            -02:36:36.117               -5.000000
1 Jul 2020 10:52:00.000            -02:37:26.117               -5.000000
1 Jul 2020 10:52:10.000            -02:38:16.117               -5.000000
1 Jul 2020 10:52:20.000            -02:39:06.117               -5.000000
1 Jul 2020 10:52:30.000            -02:39:56.117               -5.000000
1 Jul 2020 10:52:40.000            -02:40:46.117               -5.000000
1 Jul 2020 10:52:50.000            -02:41:36.117               -5.000000
1 Jul 2020 10:53:00.000            -02:42:26.117               -5.000000
1 Jul 2020 10:53:10.000            -02:43:16.117               -5.000000
1 Jul 2020 10:53:20.000            -02:44:06.117               -5.000000
1 Jul 2020 10:53:30.000            -02:44:56.117               -5.000000
1 Jul 2020 10:53:40.000            -02:45:46.117               -5.000000
1 Jul 2020 10:53:50.000            -02:46:36.117               -5.000000
1 Jul 2020 10:54:00.000            -02:47:26.117               -5.000000
1 Jul 2020 10:54:10.000            -02:48:16.117               -5.000000
1 Jul 2020 10:54:20.000            -02:49:06.117               -5.000000
1 Jul 2020 10:54:30.000            -02:49:56.117               -5.000000
1 Jul 2020 10:54:40.000            -02:50:46.117               -5.000000
1 Jul 2020 10:54:50.000            -02:51:36.117               -5.000000
1 Jul 2020 10:55:00.000            -02:52:26.117               -5.000000
1 Jul 2020 10:55:10.000            -02:53:16.117               -5.000000
1 Jul 2020 10:55:20.000            -02:54:06.117               -5.000000
1 Jul 2020 10:55:30.000            -02:54:56.117               -5.000000
1 Jul 2020 10:55:40.000            -02:55:46.117               -5.000000
1 Jul 2020 10:55:50.000            -02:56:36.117               -5.000000
1 Jul 2020 10:56:00.000            -02:57:26.117               -5.000000
1 Jul 2020 10:56:10.000            -02:58:16.117               -5.000000
1 Jul 2020 10:56:20.000            -02:59:06.117               -5.000000
1 Jul 2020 10:56:30.000            -02:59:56.117               -5.000000
1 Jul 2020 10:56:40.000            -03:00:46.117               -5.000000
1 Jul 2020 10:56:50.000            -03:01:36.117               -5.000000
1 Jul 2020 10:57:00.000            -03:02:26.117               -5.000000
1 Jul 2020 10:57:10.000            -03:03:16.117               -5.000000
1 Jul 2020 10:57:20.000            -03:04:06.117               -5.000000
1 Jul 2020 10:57:30.000            -03:04:56.117               -5.000000
1 Jul 2020 10:57:40.000            -03:05:46.117               -5.000000
1 Jul 2020 10:57:50.000            -03:06:36.117               -5.000000
1 Jul 2020 10:58:00.000            -03:07:26.117               -5.000000
1 Jul 2020 10:58:10.000            -03:08:16.117               -5.000000
1 Jul 2020 10:58:20.000            -03:09:06.117               -5.000000
1 Jul 2020 10:58:30.000            -03:09:56.117               -5.000000
1 Jul 2020 10:58:40.000            -03:10:46.117               -5.000000
1 Jul 2020 10:58:50.000            -03:11:36.117               -5.000000
1 Jul 2020 10:59:00.000            -03:12:26.117               -5.000000
1 Jul 2020 10:59:10.000            -03:13:16.117               -5.000000
1 Jul 2020 10:59:20.000            -03:14:06.117               -5.000000
1 Jul 2020 10:59:30.000            -03:14:56.117               -5.000000
1 Jul 2020 10:59:40.000            -03:15:46.117               -5.000000
1 Jul 2020 10:59:50.000            -03:16:36.117               -5.000000
1 Jul 2020 11:00:00.000            -03:17:26.117               -5.000000
1 Jul 2020 11:00:10.000            -03:18:16.117               -5.000000
1 Jul 2020 11:00:20.000            -03:19:06.117               -5.000000
1 Jul 2020 11:00:30.000            -03:19:56.117               -5.000000
1 Jul 2020 11:00:40.000            -03:20:46.117               -5.000000
1 Jul 2020 11:00:50.000            -03:21:36.117               -5.000000
1 Jul 2020 11:01:00.000            -03:22:26.117               -5.000000
1 Jul 2020 11:01:10.000            -03:23:16.117               -5.000000
1 Jul 2020 11:01:20.000            -03:24:06.117               -5.000000
1 Jul 2020 11:01:30.000            -03:24:56.117               -5.000000
1 Jul 2020 11:01:40.000            -03:25:46.117               -5.000000
1 Jul 2020 11:01:50.000            -03:26:36.117               -5.000000
1 Jul 2020 11:02:00.000            -03:27:26.117               -5.000000
1 Jul 2020 11:02:10.000            -03:28:16.117               -5.000000
1 Jul 2020 11:02:20.000            -03:29:06.117               -5.000000
1 Jul 2020 11:02:30.000            -03:29:56.117               -5.000000
1 Jul 2020 11:02:40.000            -03:30:46.117               -5.000000
1 Jul 2020 11:02:50.000            -03:31:36.117               -5.000000
1 Jul 2020 11:03:00.000            -03:32:26.117               -5.000000
1 Jul 2020 11:03:10.000            -03:33:16.117               -5.000000
1 Jul 2020 11:03:20.000            -03:34:06.117               -5.000000
1 Jul 2020 11:03:30.000            -03:34:56.117               -5.000000
1 Jul 2020 11:03:40.000            -03:35:46.117               -5.000000
1 Jul 2020 11:03:50.000            -03:36:36.117               -5.000000
1 Jul 2020 11:04:00.000            -03:37:26.117               -5.000000
1 Jul 2020 11:04:10.000            -03:38:16.117               -5.000000
1 Jul 2020 11:04:20.000            -03:39:06.117               -5.000000
1 Jul 2020 11:04:30.000            -03:39:56.117               -5.000000
1 Jul 2020 11:04:40.000            -03:40:46.117               -5.000000
1 Jul 2020 11:04:50.000            -03:41:36.117               -5.000000
1 Jul 2020 11:05:00.000            -03:42:26.117               -5.000000
1 Jul 2020 11:05:10.000            -03:43:16.117               -5.000000
1 Jul 2020 11:05:20.000            -03:44:06.117               -5.000000
1 Jul 2020 11:05:30.000            -03:44:56.117               -5.000000
1 Jul 2020 11:05:40.000            -03:45:46.117               -5.000000
1 Jul 2020 11:05:50.000            -03:46:36.117               -5.000000
1 Jul 2020 11:06:00.000            -03:47:26.117               -5.000000
1 Jul 2020 11:06:10.000            -03:48:16.117               -5.000000
1 Jul 2020 11:06:20.000            -03:49:06.117               -5.000000
1 Jul 2020 11:06:30.000            -03:49:56.117               -5.000000
1 Jul 2020 11:06:40.000            -03:50:46.117               -5.000000
1 Jul 2020 11:06:50.000            -03:51:36.117               -5.000000
1 Jul 2020 11:07:00.000            -03:52:26.117               -5.000000
1 Jul 2020 11:07:10.000            -03:53:16.117               -5.000000
1 Jul 2020 11:07:20.000            -03:54:06.117               -5.000000
1 Jul 2020 11:07:30.000            -03:54:56.117               -5.000000
1 Jul 2020 11:07:40.000            -03:55:46.117               -5.000000
1 Jul 2020 11:07:50.000            -03:56:36.117               -5.000000
1 Jul 2020 11:08:00.000            -03:57:26.117               -5.000000
1 Jul 2020 11:08:10.000            -03:58:16.117               -5.000000
1 Jul 2020 11:08:20.000            -03:59:06.117               -5.000000
1 Jul 2020 11:08:30.000            -03:59:56.117               -5.000000
1 Jul 2020 11:08:40.000            -04:00:46.117               -5.000000
1 Jul 2020 11:08:50.000            -04:01:36.117               -5.000000
1 Jul 2020 11:09:00.000            -04:02:26.117               -5.000000
