                                                               9 Jul 2020 11:46:57
Transmitter-Transmitter


      Time (UTCG)          Consumption_integral (HMS)    Consumption_integral Rate
1 Jul 2020 11:02:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:03:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:03:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:03:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:03:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:03:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:03:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:04:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:04:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:04:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:04:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:04:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:04:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:05:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:05:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:05:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:05:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:05:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:05:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:06:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:06:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:06:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:06:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:06:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:06:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:07:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:07:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 11:07:20.000                 -13:13:17.797                     0.000000
